NFT Name,Count,%Area,Perimeter,Major,Minor,Angle,Circularity,Integrated density,Skewness,Kurtosis
Fingerprint #1705,22,10.12590,680.66308,125.85441,29.71480,112.52143,0.31935,1081677.13636,-1.86965,2.88545
Fingerprint #1706,14,10.24950,1077.35037,139.05121,42.45111,113.95989,0.27893,1724093.50000,-1.93578,3.16384
Fingerprint #1707,19,10.20610,831.82140,153.34911,29.18044,106.91515,0.25060,1261896.31579,-1.91017,2.94772
Fingerprint #1708,19,10.15170,792.58509,108.36705,35.63045,116.45448,0.31984,1257490.57895,-2.09031,3.42075
Fingerprint #1709,13,10.20050,1040.59945,138.76956,47.28614,90.97050,0.20211,1847708.00000,-2.07092,3.40836
Fingerprint #1710,15,10.19100,982.83154,172.37370,37.95035,104.36452,0.21256,1597845.73333,-2.08331,3.54885
Fingerprint #1711,18,10.16940,856.98018,164.57639,36.90602,125.41938,0.16716,1328320.11111,-2.37504,4.45757
Fingerprint #1712,13,10.18840,1163.56943,109.10782,48.08714,96.30028,0.29841,1842417.61538,-1.81488,2.67572
Fingerprint #1713,19,10.14200,815.97535,141.64640,35.84627,135.18953,0.18200,1255901.05263,-2.19610,3.75466
Fingerprint #1714,18,10.18850,908.77024,157.56251,38.42935,124.53461,0.18017,1332142.88889,-2.30998,4.19962
Fingerprint #1715,12,10.24500,1239.65695,127.79464,45.91273,118.90597,0.33413,2008717.08333,-1.63414,2.24759
Fingerprint #1716,19,10.14220,800.75480,150.42191,37.11879,121.60852,0.19980,1254788.84211,-2.28215,4.06645
Fingerprint #1717,22,10.10470,637.77830,139.67542,29.50308,108.88642,0.32411,1080730.18182,-1.90312,2.98930
Fingerprint #1718,14,10.18470,1120.11747,140.44249,43.29524,110.18917,0.22512,1711634.42857,-2.14647,3.73881
Fingerprint #1719,16,10.16360,950.21866,149.10114,43.26659,109.92320,0.20580,1493653.06250,-2.15840,3.77194
Fingerprint #1720,14,10.14790,1065.97329,88.57696,35.11211,73.65672,0.38723,1707489.78571,-1.37672,1.52022
Fingerprint #1721,15,10.17990,1002.84149,168.76127,38.46344,127.60565,0.19571,1596625.46667,-2.18304,3.91498
Fingerprint #1722,19,10.15350,703.54010,131.71597,37.68777,109.34313,0.24374,1257673.57895,-2.16644,3.68516
Fingerprint #1723,18,10.19660,896.68839,146.96380,33.24863,105.68990,0.27728,1332427.55556,-1.93692,3.22170
Fingerprint #1724,18,10.18800,764.85711,97.40272,40.05819,78.20844,0.33552,1331971.11111,-1.59880,2.14017
Fingerprint #1725,13,10.19500,1126.80209,99.04127,37.32286,73.52181,0.34593,1845040.46154,-1.43354,1.38672
Fingerprint #1726,17,10.20580,896.94418,130.82719,32.67828,116.88838,0.30618,1413128.58824,-1.87038,2.74304
Fingerprint #1727,17,10.17050,834.43045,82.24298,41.25019,63.47933,0.35782,1407993.41176,-1.42819,1.50274
Fingerprint #1728,17,10.16200,905.64914,121.70298,39.13392,87.21446,0.37009,1406277.76471,-1.67167,2.44559
Fingerprint #1729,23,10.15450,681.96195,144.01955,27.62097,110.24061,0.28290,1037667.82609,-2.08885,3.44846
Fingerprint #1730,22,10.13450,645.67112,142.57818,30.70968,122.51840,0.24410,1083283.95455,-2.17643,3.72070
Fingerprint #1731,22,10.12350,657.08809,144.97621,28.42494,118.25382,0.23327,1082150.13636,-2.07239,3.41786
Fingerprint #1732,23,10.12960,666.80679,134.41580,30.29837,104.09376,0.25146,1036096.65217,-2.07954,3.50642
Fingerprint #1733,18,10.15770,796.69828,102.62376,36.72021,89.16485,0.30148,1326765.55556,-1.88889,2.61993
Fingerprint #1734,16,10.20200,865.13717,149.71160,41.20521,120.51402,0.19742,1500257.93750,-2.09543,3.41280
Fingerprint #1735,15,10.18920,929.34633,122.87071,46.71362,94.45512,0.26743,1599355.66667,-2.08737,3.54969
Fingerprint #1736,20,10.18270,686.42747,123.83237,29.64427,125.91446,0.33332,1197943.50000,-1.96846,3.07474
Fingerprint #1737,18,10.13390,820.85893,108.35944,34.23357,80.03394,0.34042,1324531.05556,-1.71495,2.21083
Fingerprint #1738,16,10.15170,947.87183,143.94760,35.69254,104.47839,0.22880,1493726.37500,-2.00184,3.24128
Fingerprint #1739,12,10.12670,1246.79008,140.58857,54.94094,117.73481,0.18506,1982200.91667,-2.27587,4.06496
Fingerprint #1740,11,10.16000,1417.16420,102.23499,48.77029,122.13402,0.17381,2175668.90909,-1.44800,1.53810
Fingerprint #1741,18,10.17490,829.65628,145.41521,34.98365,119.99400,0.25216,1329216.16667,-2.03853,3.35286
Fingerprint #1742,24,10.17740,685.96397,139.54606,26.81060,117.13652,0.25110,998352.87500,-1.97309,3.28437
Fingerprint #1743,20,10.12650,721.14304,143.19615,32.29271,128.46529,0.32314,1190396.10000,-2.03885,3.35326
Fingerprint #1744,22,10.17730,694.96349,76.95053,27.82768,42.51725,0.44013,1088307.81818,-1.36915,1.53906
